Scenario,Location,Throughput [Mbit/s]
PR,IT,15.895024
PR,IT,69.456368
PR,IT,63.895752
PR,IT,78.333528
PR,IT,78.201784
PR,IT,61.971232
PR,IT,72.454928
PR,IT,68.131488
PR,IT,58.456872
PR,IT,78.914976
PR,IT,67.534664
PR,IT,78.64456
PR,IT,69.205272
PR,IT,65.562328
PR,IT,58.592088
PR,IT,62.044416
PR,IT,76.562528
PR,IT,81.695824
PR,IT,76.332368
PR,IT,85.214696
PR,IT,79.580576
PR,IT,81.707232
PR,IT,81.245016
PR,IT,82.024296
PR,IT,79.313512
PR,IT,81.7548
PR,IT,71.494864
PR,IT,64.905176
PR,IT,66.645104
PR,IT,54.646784
PR,IT,54.874088
PR,IT,66.35964
PR,IT,81.904392
PR,IT,80.818808
PR,IT,71.629408
PR,IT,71.013416
PR,IT,73.382584
PR,IT,75.228904
PR,IT,64.48384
PR,IT,73.89536
PR,IT,69.932632
PR,IT,86.972024
PR,IT,80.796912
PR,IT,71.629272
PR,IT,80.018856
PR,IT,81.740944
PR,IT,74.257056
PR,IT,64.101312
PR,IT,84.338864
PR,IT,77.541984
PR,IT,81.90632
PR,IT,81.019448
PR,IT,70.227736
PR,IT,76.117024
PR,IT,66.701448
PR,IT,78.914976
PR,IT,67.534664
PR,IT,78.64456
PR,IT,69.205272
PR,IT,65.562328
PR,IT,58.592088
PR,IT,62.044416
PR,IT,76.562528
PR,IT,81.695824
PR,IT,76.332368
PR,IT,85.214696
PR,IT,79.580576
PR,IT,81.707232
PR,IT,81.245016
PR,IT,82.024296
PR,IT,79.313512
PR,IT,81.7548
PR,IT,71.494864
PR,IT,64.905176
PR,IT,66.645104
PR,IT,54.646784
PR,IT,54.874088
PR,IT,66.35964
PR,IT,81.904392
PR,IT,80.818808
PR,IT,71.629408
PR,IT,71.013416
PR,IT,73.382584
PR,IT,75.228904
PR,IT,64.48384
PR,IT,73.89536
PR,IT,69.932632
PR,IT,86.972024
PR,IT,80.796912
PR,IT,71.629272
PR,IT,80.018856
PR,IT,81.740944
PR,IT,74.257056
PR,IT,64.101312
PR,IT,84.338864
PR,IT,77.541984
PR,IT,81.90632
PR,IT,81.019448
PR,IT,70.227736
PR,IT,76.117024
Native,IT,107.77368
Native,IT,87.03524
Native,IT,72.064448
Native,IT,260.871904
Native,IT,186.25084
Native,IT,202.113832
Native,IT,329.924152
Native,IT,314.863976
Native,IT,155.601464
Native,IT,140.73956
Native,IT,215.235416
Native,IT,181.632696
Native,IT,90.70612
Native,IT,124.706304
Native,IT,169.869944
Native,IT,94.34228
Native,IT,107.085056
Native,IT,76.69632
Native,IT,69.0738
Native,IT,99.748992
Native,IT,82.030936
Native,IT,152.886848
Native,IT,139.30664
Native,IT,63.484736
Native,IT,100.627952
Native,IT,57.220016
Native,IT,74.708152
Native,IT,101.820368
Native,IT,95.512056
Native,IT,113.537664
Native,IT,125.797864
Native,IT,76.246768
Native,IT,70.674448
Native,IT,79.873232
Native,IT,182.701248
Native,IT,62.000864
