ping_ms,download_mbps,upload_mbps,organization,server_ip,sponsor,city,browser,iteration,time,platform,Location,Scenario,subnet_15,client_ip_operator
53.0,449.78,105.54,iCloud Private Relay,172.225.121.138,Uania,Milano,safari,13.0,1664460566.297334,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,165.12,123.33,iCloud Private Relay,172.226.14.26,HAL Service SPA,Milano,safari,1.0,1664459276.714566,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,489.58,124.82,iCloud Private Relay,172.226.14.26,Fiber Telecom SPA,Milano,safari,9.0,1664460124.014015,Darwin,IT,PR,172.224.0.0/14,Akamai
54.0,483.26,104.26,iCloud Private Relay,172.225.121.138,Uania,Milano,safari,10.0,1664460231.4133492,Darwin,IT,PR,172.224.0.0/14,Akamai
33.0,504.5,105.79,iCloud Private Relay,172.225.144.172,PVDataNet,Milano,safari,19.0,1664461225.428413,Darwin,IT,PR,172.224.0.0/14,Akamai
33.0,527.32,123.88,iCloud Private Relay,172.226.14.26,HAL Service SPA,Milano,safari,2.0,1664459380.730814,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,493.43,124.0,iCloud Private Relay,172.226.14.26,PVDataNet,Milano,safari,12.0,1664460461.306203,Darwin,IT,PR,172.224.0.0/14,Akamai
33.0,500.01,123.98,iCloud Private Relay,172.226.14.24,HAL Service SPA,Milano,safari,18.0,1664461121.381221,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,480.37,117.4,iCloud Private Relay,172.226.14.12,PVDataNet,Milano,safari,14.0,1664460670.851386,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,414.22,124.5,iCloud Private Relay,172.225.144.188,Uania,Milano,safari,0.0,1664459171.178764,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,431.56,125.05,iCloud Private Relay,172.225.144.172,HAL Service SPA,Milano,safari,17.0,1664460983.789522,Darwin,IT,PR,172.224.0.0/14,Akamai
33.0,490.64,123.42,iCloud Private Relay,172.226.14.12,Melita,Milan,safari,16.0,1664460859.6921878,Darwin,IT,PR,172.224.0.0/14,Akamai
35.0,497.09,122.35,iCloud Private Relay,172.226.14.12,Fiber Telecom SPA,Milano,safari,8.0,1664460013.688904,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,478.3,124.89,iCloud Private Relay,172.225.144.184,PVDataNet,Milano,safari,7.0,1664459907.3481758,Darwin,IT,PR,172.224.0.0/14,Akamai
44.0,511.98,126.87,iCloud Private Relay,172.225.144.172,HAL Service SPA,Milano,safari,6.0,1664459802.25068,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,431.13,70.67,iCloud Private Relay,172.225.144.188,Melita,Milan,safari,3.0,1664459484.8780968,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,444.69,111.86,iCloud Private Relay,172.226.14.26,PVDataNet,Milano,safari,4.0,1664459589.906712,Darwin,IT,PR,172.224.0.0/14,Akamai
34.0,498.29,125.23,iCloud Private Relay,172.225.144.188,PVDataNet,Milano,safari,5.0,1664459694.8535879,Darwin,IT,PR,172.224.0.0/14,Akamai
